Customer_ID,Age,Gender,City,Monthly_Income,Spending_Score,Purchase_Amount,Product_Category,Purchase_Date
1,56,Male,Delhi,112573,48,15924,Clothing,2024-01-01
2,46,Female,Delhi,29557,73,48607,Sports,2024-01-02
3,32,Female,Delhi,94971,72,45717,Sports,2024-01-03
4,60,Female,Delhi,123302,45,11626,Sports,2024-01-04
5,25,Male,Hyderabad,20162,81,35761,Groceries,2024-01-05
6,38,Male,Chennai,54742,81,1869,Sports,2024-01-06
7,56,Male,Mumbai,39675,97,32552,Sports,2024-01-07
8,36,Male,Bangalore,93997,96,2014,Sports,2024-01-08
9,40,Male,Hyderabad,37015,72,11103,Electronics,2024-01-09
10,28,Male,Mumbai,70057,19,17986,Groceries,2024-01-10
11,28,Male,Hyderabad,52591,63,45781,Clothing,2024-01-11
12,41,Male,Hyderabad,113583,38,31471,Electronics,2024-01-12
13,53,Female,Bangalore,146133,67,34458,Furniture,2024-01-13
14,57,Female,Chennai,120318,59,26069,Groceries,2024-01-14
15,41,Male,Delhi,29833,69,17873,Groceries,2024-01-15
16,20,Male,Chennai,27896,13,24248,Furniture,2024-01-16
17,39,Female,Bangalore,52972,47,24624,Furniture,2024-01-17
18,19,Male,Bangalore,69733,61,44516,Furniture,2024-01-18
19,41,Male,Bangalore,140363,31,30061,Clothing,2024-01-19
20,61,Male,Mumbai,61800,80,25170,Sports,2024-01-20
21,47,Female,Chennai,116044,96,9024,Groceries,2024-01-21
22,55,Female,Chennai,25347,22,17678,Sports,2024-01-22
23,19,Female,Hyderabad,79063,93,39256,Sports,2024-01-23
24,38,Female,Hyderabad,115850,86,21411,Furniture,2024-01-24
25,50,Female,Hyderabad,22643,43,44803,Clothing,2024-01-25
26,29,Male,Bangalore,60785,67,20296,Electronics,2024-01-26
27,39,Female,Chennai,38681,54,27293,Clothing,2024-01-27
28,61,Male,Bangalore,70026,10,28172,Sports,2024-01-28
29,42,Male,Mumbai,123864,42,22128,Clothing,2024-01-29
30,44,Female,Hyderabad,35892,64,19257,Furniture,2024-01-30
31,59,Female,Bangalore,67299,21,13855,Electronics,2024-01-31
32,45,Male,Bangalore,37073,80,20642,Furniture,2024-02-01
33,33,Male,Mumbai,122304,76,36585,Electronics,2024-02-02
34,32,Male,Delhi,50682,66,21025,Sports,2024-02-03
35,64,Female,Chennai,117798,41,5458,Electronics,2024-02-04
36,61,Female,Delhi,146021,24,6307,Electronics,2024-02-05
37,20,Female,Hyderabad,116894,35,42701,Electronics,2024-02-06
38,54,Female,Bangalore,144302,56,19425,Clothing,2024-02-07
39,24,Female,Mumbai,34289,30,44427,Clothing,2024-02-08
40,38,Male,Mumbai,135359,57,29273,Sports,2024-02-09
41,26,Female,Chennai,27927,94,39506,Electronics,2024-02-10
42,56,Male,Delhi,68330,47,6668,Groceries,2024-02-11
43,35,Male,Chennai,86707,35,26934,Sports,2024-02-12
44,21,Male,Bangalore,140279,19,48195,Electronics,2024-02-13
45,42,Female,Chennai,97454,8,8697,Electronics,2024-02-14
46,31,Female,Mumbai,127439,26,25417,Clothing,2024-02-15
47,26,Female,Mumbai,124646,71,17446,Sports,2024-02-16
48,43,Male,Hyderabad,85428,30,41597,Electronics,2024-02-17
49,19,Male,Hyderabad,70601,7,11751,Electronics,2024-02-18
50,37,Male,Bangalore,97465,67,47218,Sports,2024-02-19
51,45,Male,Delhi,22539,65,8352,Groceries,2024-02-20
52,64,Male,Chennai,122263,36,14516,Sports,2024-02-21
53,24,Male,Bangalore,131487,25,24299,Sports,2024-02-22
54,61,Female,Hyderabad,42669,37,32957,Groceries,2024-02-23
55,25,Female,Chennai,90968,1,29927,Sports,2024-02-24
56,64,Female,Hyderabad,40644,15,42094,Electronics,2024-02-25
57,52,Female,Chennai,38745,37,37412,Sports,2024-02-26
58,31,Male,Delhi,140852,13,30493,Groceries,2024-02-27
59,34,Male,Bangalore,148081,8,27711,Furniture,2024-02-28
60,53,Female,Chennai,48228,5,9003,Sports,2024-02-29
61,57,Male,Mumbai,138358,60,32707,Clothing,2024-03-01
62,21,Female,Mumbai,54521,73,4278,Electronics,2024-03-02
63,19,Female,Chennai,142788,1,8296,Electronics,2024-03-03
64,23,Female,Chennai,117239,36,26398,Clothing,2024-03-04
65,59,Male,Chennai,46928,35,36842,Clothing,2024-03-05
66,21,Female,Mumbai,38322,66,14261,Sports,2024-03-06
67,46,Female,Mumbai,77714,63,12173,Clothing,2024-03-07
68,35,Female,Chennai,107896,23,31449,Furniture,2024-03-08
69,43,Male,Hyderabad,82292,9,42080,Groceries,2024-03-09
70,61,Male,Hyderabad,49055,34,2637,Clothing,2024-03-10
